,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag,Station Name,Province,Current Station Operator,Latitude,Longitude,Elevation,Climate Identifier,WMO Identifier
25,2015-01-26,2015,1,26,,12.5,,4.4,,8.5,,9.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
26,2015-01-27,2015,1,27,,11.5,,6.6,,9.1,,8.9,,0.0,,0.0,T,0.0,,0.0,T,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
27,2015-01-28,2015,1,28,,10.0,,2.0,,6.0,,12.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
28,2015-01-29,2015,1,29,,8.7,,1.2,,5.0,,13.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
29,2015-01-30,2015,1,30,,7.1,,-0.1,,3.5,,14.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
30,2015-01-31,2015,1,31,,6.4,,3.5,,5.0,,13.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
31,2015-02-01,2015,2,1,,8.9,,5.2,,7.1,,10.9,,0.0,,3.4,,0.0,,3.4,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
32,2015-02-02,2015,2,2,,8.4,,7.1,,7.8,,10.2,,0.0,,3.8,,0.0,,3.8,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
33,2015-02-03,2015,2,3,,9.3,,6.3,,7.8,,10.2,,0.0,,4.2,,0.0,,4.2,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
34,2015-02-04,2015,2,4,,8.5,,3.0,,5.8,,12.2,,0.0,,3.4,,0.0,,3.4,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
35,2015-02-05,2015,2,5,,12.6,,7.1,,9.9,,8.1,,0.0,,26.2,,0.0,,26.2,,0.0,,12.0,,46,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
36,2015-02-06,2015,2,6,,12.6,,10.5,,11.6,,6.4,,0.0,,11.8,,0.0,,11.8,,0.0,,15.0,,59,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
37,2015-02-07,2015,2,7,,11.4,,9.9,,10.7,,7.3,,0.0,,11.4,,0.0,,11.4,,0.0,,15.0,,41,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
38,2015-02-08,2015,2,8,,14.3,,9.0,,11.7,,6.3,,0.0,,1.6,,0.0,,1.6,,0.0,,11.0,,37,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
39,2015-02-09,2015,2,9,,11.0,,7.2,,9.1,,8.9,,0.0,,17.4,,0.0,,17.4,,0.0,,20.0,,41,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
40,2015-02-10,2015,2,10,,12.2,,7.9,,10.1,,7.9,,0.0,,9.6,,0.0,,9.6,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
41,2015-02-11,2015,2,11,,12.1,,5.8,,9.0,,9.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
42,2015-02-12,2015,2,12,,11.2,,7.5,,9.4,,8.6,,0.0,,10.0,,0.0,,10.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
43,2015-02-13,2015,2,13,,12.6,,7.8,,10.2,,7.8,,0.0,,4.2,,0.0,,4.2,,0.0,,29.0,,35,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
44,2015-02-14,2015,2,14,,10.2,,4.0,,7.1,,10.9,,0.0,,0.0,T,0.0,,0.0,T,0.0,,23.0,,33,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
45,2015-02-15,2015,2,15,,9.8,,2.9,,6.4,,11.6,,0.0,,0.0,,0.0,,0.0,,0.0,,29.0,,35,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
46,2015-02-16,2015,2,16,,9.1,,0.2,,4.7,,13.3,,0.0,,0.0,,0.0,,0.0,,0.0,,31.0,,33,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
47,2015-02-17,2015,2,17,,8.9,,-0.4,,4.3,,13.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
48,2015-02-18,2015,2,18,,12.6,,2.5,,7.6,,10.4,,0.0,,0.2,,0.0,,0.2,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
49,2015-02-19,2015,2,19,,11.7,,5.5,,8.6,,9.4,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
50,2015-02-20,2015,2,20,,9.9,,4.5,,7.2,,10.8,,0.0,,0.0,,0.0,,0.0,,0.0,,31.0,,37,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
51,2015-02-21,2015,2,21,,9.6,,1.0,,5.3,,12.7,,0.0,,0.0,,0.0,,0.0,,0.0,,29.0,,33,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
52,2015-02-22,2015,2,22,,9.1,,-0.1,,4.5,,13.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
53,2015-02-23,2015,2,23,,9.0,,-0.4,,4.3,,13.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
54,2015-02-24,2015,2,24,,9.0,,0.1,,4.6,,13.4,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
55,2015-02-25,2015,2,25,,8.4,,2.9,,5.7,,12.3,,0.0,,2.4,,0.0,,2.4,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
56,2015-02-26,2015,2,26,,9.6,,4.8,,7.2,,10.8,,0.0,,1.0,,0.0,,1.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
57,2015-02-27,2015,2,27,,9.5,,2.3,,5.9,,12.1,,0.0,,2.8,,0.0,,2.8,,0.0,,30.0,,37,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
58,2015-02-28,2015,2,28,,9.9,,-1.9,,4.0,,14.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
59,2015-03-01,2015,3,1,,8.0,,-0.4,,3.8,,14.2,,0.0,,2.4,,0.0,,2.4,,0.0,,29.0,,33,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
60,2015-03-02,2015,3,2,,9.0,,1.6,,5.3,,12.7,,0.0,,0.0,T,0.0,,0.0,T,0.0,,28.0,,41,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
61,2015-03-03,2015,3,3,,8.6,,-1.7,,3.5,,14.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
62,2015-03-04,2015,3,4,,8.3,,-1.9,,3.2,,14.8,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
63,2015-03-05,2015,3,5,,10.2,,0.2,,5.2,,12.8,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
64,2015-03-06,2015,3,6,,10.5,,0.6,,5.6,,12.4,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
65,2015-03-07,2015,3,7,,11.2,,0.7,,6.0,,12.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
66,2015-03-08,2015,3,8,,10.1,,1.7,,5.9,,12.1,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
67,2015-03-09,2015,3,9,,10.0,,1.0,,5.5,,12.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
68,2015-03-10,2015,3,10,,8.1,,3.3,,5.7,,12.3,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
69,2015-03-11,2015,3,11,,13.2,,7.5,,10.4,,7.6,,0.0,,8.2,,0.0,,8.2,,0.0,,13.0,,41,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
70,2015-03-12,2015,3,12,,17.2,,8.3,,12.8,,5.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
71,2015-03-13,2015,3,13,,13.4,,5.7,,9.6,,8.4,,0.0,,1.2,,0.0,,1.2,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
72,2015-03-14,2015,3,14,,14.7,,7.3,,11.0,,7.0,,0.0,,15.4,,0.0,,15.4,,0.0,,15.0,,48,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
73,2015-03-15,2015,3,15,,8.6,,6.1,,7.4,,10.6,,0.0,,13.6,,0.0,,13.6,,0.0,,28.0,,43,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
74,2015-03-16,2015,3,16,,10.4,,3.1,,6.8,,11.2,,0.0,,0.2,,0.0,,0.2,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
75,2015-03-17,2015,3,17,,11.7,,2.2,,7.0,,11.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
76,2015-03-18,2015,3,18,,14.2,,4.9,,9.6,,8.4,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
77,2015-03-19,2015,3,19,,11.4,,8.6,,10.0,,8.0,,0.0,,14.2,,0.0,,14.2,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
78,2015-03-20,2015,3,20,,13.0,,8.3,,10.7,,7.3,,0.0,,20.0,,0.0,,20.0,,0.0,,11.0,,57,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
79,2015-03-21,2015,3,21,,12.9,,7.4,,10.2,,7.8,,0.0,,10.4,,0.0,,10.4,,0.0,,18.0,,35,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
80,2015-03-22,2015,3,22,,11.8,,6.0,,8.9,,9.1,,0.0,,5.2,,0.0,,5.2,,0.0,,10.0,,33,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
81,2015-03-23,2015,3,23,,11.4,,5.6,,8.5,,9.5,,0.0,,6.4,,0.0,,6.4,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
82,2015-03-24,2015,3,24,,13.0,,5.0,,9.0,,9.0,,0.0,,0.0,,0.0,,0.0,,0.0,,20.0,,32,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
83,2015-03-25,2015,3,25,,11.1,,7.0,,9.1,,8.9,,0.0,,30.2,,0.0,,30.2,,0.0,,8.0,,35,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
84,2015-03-26,2015,3,26,,18.8,,10.7,,14.8,,3.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
85,2015-03-27,2015,3,27,,16.9,,7.8,,12.4,,5.6,,0.0,,2.8,,0.0,,2.8,,0.0,,17.0,,32,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
86,2015-03-28,2015,3,28,,14.3,,9.1,,11.7,,6.3,,0.0,,3.0,,0.0,,3.0,,0.0,,28.0,,43,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
87,2015-03-29,2015,3,29,,10.4,,8.4,,9.4,,8.6,,0.0,,19.8,,0.0,,19.8,,0.0,,8.0,,35,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
88,2015-03-30,2015,3,30,,17.2,,9.3,,13.3,,4.7,,0.0,,1.8,,0.0,,1.8,,0.0,,12.0,,32,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
89,2015-03-31,2015,3,31,,12.9,,6.1,,9.5,,8.5,,0.0,,4.2,,0.0,,4.2,,0.0,,29.0,,59,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
90,2015-04-01,2015,4,1,,11.2,,5.0,,8.1,,9.9,,0.0,,0.0,,0.0,,0.0,,0.0,,22.0,,33,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
91,2015-04-02,2015,4,2,,12.5,,3.0,,7.8,,10.2,,0.0,,0.0,,0.0,,0.0,,0.0,,20.0,,39,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
92,2015-04-03,2015,4,3,,10.9,,6.3,,8.6,,9.4,,0.0,,1.4,,0.0,,1.4,,0.0,,15.0,,48,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
93,2015-04-04,2015,4,4,,11.8,,2.6,,7.2,,10.8,,0.0,,0.0,T,0.0,,0.0,T,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
94,2015-04-05,2015,4,5,,11.5,,0.4,,6.0,,12.0,,0.0,,,M,0.0,,,M,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
95,2015-04-06,2015,4,6,,12.8,,2.9,,7.9,,10.1,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
96,2015-04-07,2015,4,7,,13.9,,2.2,,8.1,,9.9,,0.0,,0.0,,0.0,,0.0,,0.0,,29.0,,32,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
97,2015-04-08,2015,4,8,,13.9,,3.2,,8.6,,9.4,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
98,2015-04-09,2015,4,9,,14.9,,5.2,,10.1,,7.9,,0.0,,0.0,,0.0,,0.0,,0.0,,20.0,,32,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
99,2015-04-10,2015,4,10,,12.3,,6.7,,9.5,,8.5,,0.0,,1.6,,0.0,,1.6,,0.0,,12.0,,39,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
100,2015-04-11,2015,4,11,,12.8,,4.8,,8.8,,9.2,,0.0,,0.0,,0.0,,0.0,,0.0,,20.0,,54,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
101,2015-04-12,2015,4,12,,11.6,,3.9,,7.8,,10.2,,0.0,,1.0,,0.0,,1.0,,0.0,,29.0,,41,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
102,2015-04-13,2015,4,13,,8.7,,5.7,,7.2,,10.8,,0.0,,5.8,,0.0,,5.8,,0.0,,9.0,,39,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
103,2015-04-14,2015,4,14,,12.0,,3.3,,7.7,,10.3,,0.0,,0.6,,0.0,,0.6,,0.0,,30.0,,59,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
104,2015-04-15,2015,4,15,,12.6,,3.1,,7.9,,10.1,,0.0,,0.0,,0.0,,0.0,,0.0,,20.0,,41,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
105,2015-04-16,2015,4,16,,13.2,,4.5,,8.9,,9.1,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
106,2015-04-17,2015,4,17,,15.1,,4.8,,10.0,,8.0,,0.0,,0.0,T,0.0,,0.0,T,0.0,,28.0,,57,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
107,2015-04-18,2015,4,18,,14.1,,5.2,,9.7,,8.3,,0.0,,0.0,,0.0,,0.0,,0.0,,30.0,,54,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
108,2015-04-19,2015,4,19,,15.1,,3.9,,9.5,,8.5,,0.0,,0.0,,0.0,,0.0,,0.0,,30.0,,33,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
109,2015-04-20,2015,4,20,,17.1,,6.5,,11.8,,6.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
110,2015-04-21,2015,4,21,,15.1,,8.3,,11.7,,6.3,,0.0,,4.2,,0.0,,4.2,,0.0,,29.0,,52,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
111,2015-04-22,2015,4,22,,13.4,,6.9,,10.2,,7.8,,0.0,,0.0,,0.0,,0.0,,0.0,,26.0,,41,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
112,2015-04-23,2015,4,23,,10.2,,5.4,,7.8,,10.2,,0.0,,8.8,,0.0,,8.8,,0.0,,14.0,,43,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
